key,zh,en,ja,de,fr,es,ru
toolbox.crypto.content_media.error_wav_data_missing,WAV data 区块缺失。,WAV data chunk is missing.,WAV data chunk is missing.,WAV data chunk is missing.,WAV data chunk is missing.,WAV data chunk is missing.,WAV data chunk is missing.
toolbox.crypto.content_media.error_payload_header_invalid,加密媒体载荷头无效。,Encrypted media payload header is invalid.,Encrypted media payload header is invalid.,Encrypted media payload header is invalid.,Encrypted media payload header is invalid.,Encrypted media payload header is invalid.,Encrypted media payload header is invalid.
toolbox.crypto.content_media.text_restored_title,已还原原始文本,Original text restored,Original text restored,Original text restored,Original text restored,Original text restored,Original text restored
toolbox.crypto.content_media.text_restored_subtitle,这是从加密媒体中解出的原始文本，可直接复制；文件导出仍保留在结果区。,This is the original text restored from encrypted media. You can copy it now; file export remains available in the result panel.,This is the original text restored from encrypted media. You can copy it now; file export remains available in the result panel.,This is the original text restored from encrypted media. You can copy it now; file export remains available in the result panel.,This is the original text restored from encrypted media. You can copy it now; file export remains available in the result panel.,This is the original text restored from encrypted media. You can copy it now; file export remains available in the result panel.,This is the original text restored from encrypted media. You can copy it now; file export remains available in the result panel.
toolbox.crypto.content_media.copy_text,复制原文,Copy original,Copy original,Copy original,Copy original,Copy original,Copy original
toolbox.crypto.content_media.view_text,查看原文,View original,View original,View original,View original,View original,View original
toolbox.crypto.content_media.text_copied,原始文本已复制。,Original text copied.,Original text copied.,Original text copied.,Original text copied.,Original text copied.,Original text copied.
toolbox.crypto.content_media.text_copy_failed,复制原始文本失败：{error},Copying original text failed: {error},Copying original text failed: {error},Copying original text failed: {error},Copying original text failed: {error},Copying original text failed: {error},Copying original text failed: {error}
toolbox.crypto.content_media.key_generate_title,生成随机密钥文件,Generate random key file,Generate random key file,Generate random key file,Generate random key file,Generate random key file,Generate random key file
toolbox.crypto.content_media.key_length_invalid,密钥文件长度必须在 32 字节到 1 MB 之间。,Key file length must be between 32 bytes and 1 MB.,Key file length must be between 32 bytes and 1 MB.,Key file length must be between 32 bytes and 1 MB.,Key file length must be between 32 bytes and 1 MB.,Key file length must be between 32 bytes and 1 MB.,Key file length must be between 32 bytes and 1 MB.
toolbox.crypto.content_media.image_min_label,PNG 最小尺寸,PNG minimum size,PNG minimum size,PNG minimum size,PNG minimum size,PNG minimum size,PNG minimum size
toolbox.crypto.content_media.image_min_auto,自动紧凑,Auto compact,Auto compact,Auto compact,Auto compact,Auto compact,Auto compact
toolbox.crypto.content_media.image_min_512,512 x 512,512 x 512,512 x 512,512 x 512,512 x 512,512 x 512,512 x 512
toolbox.crypto.content_media.image_min_1024,1024 x 1024,1024 x 1024,1024 x 1024,1024 x 1024,1024 x 1024,1024 x 1024,1024 x 1024
toolbox.crypto.content_media.fill_mode_label,底图填充模式,Base fill mode,Base fill mode,Base fill mode,Base fill mode,Base fill mode,Base fill mode
toolbox.crypto.content_media.fill_soft_gradient,柔和渐变,Soft gradient,Soft gradient,Soft gradient,Soft gradient,Soft gradient,Soft gradient
toolbox.crypto.content_media.fill_paper_grain,纸纹颗粒,Paper grain,Paper grain,Paper grain,Paper grain,Paper grain,Paper grain
toolbox.crypto.content_media.fill_dusk_noise,暮色噪点,Dusk noise,Dusk noise,Dusk noise,Dusk noise,Dusk noise,Dusk noise
toolbox.crypto.content_media.limit_title,会话限制与清理,Session limits and cleanup,Session limits and cleanup,Session limits and cleanup,Session limits and cleanup,Session limits and cleanup,Session limits and cleanup
toolbox.crypto.content_media.limit_note,限制只作用于当前页面会话；触发后会随机覆写页面内缓存的明文、媒体、输出和密钥材料。,Limits apply only to this page session. When triggered the page random-overwrites cached plaintext media output and key material.,Limits apply only to this page session. When triggered the page random-overwrites cached plaintext media output and key material.,Limits apply only to this page session. When triggered the page random-overwrites cached plaintext media output and key material.,Limits apply only to this page session. When triggered the page random-overwrites cached plaintext media output and key material.,Limits apply only to this page session. When triggered the page random-overwrites cached plaintext media output and key material.,Limits apply only to this page session. When triggered the page random-overwrites cached plaintext media output and key material.
toolbox.crypto.content_media.overwrite_media_toggle,触发后覆写并删除选中媒体,Overwrite and delete selected media when triggered,Overwrite and delete selected media when triggered,Overwrite and delete selected media when triggered,Overwrite and delete selected media when triggered,Overwrite and delete selected media when triggered,Overwrite and delete selected media when triggered
toolbox.crypto.content_media.overwrite_media_note,仅在平台提供真实可写路径时尝试；Web、只读副本或系统托管文件会降级为页面内存清理。,Only attempted when the platform provides a real writable path. Web read-only copies and system-managed files fall back to in-page cleanup.,Only attempted when the platform provides a real writable path. Web read-only copies and system-managed files fall back to in-page cleanup.,Only attempted when the platform provides a real writable path. Web read-only copies and system-managed files fall back to in-page cleanup.,Only attempted when the platform provides a real writable path. Web read-only copies and system-managed files fall back to in-page cleanup.,Only attempted when the platform provides a real writable path. Web read-only copies and system-managed files fall back to in-page cleanup.,Only attempted when the platform provides a real writable path. Web read-only copies and system-managed files fall back to in-page cleanup.
toolbox.crypto.content_media.decrypt_limit_cleared,已达到最大可解密次数，页面内缓存已随机覆写并清除。,Maximum decrypt count reached. Cached page data was random-overwritten and cleared.,Maximum decrypt count reached. Cached page data was random-overwritten and cleared.,Maximum decrypt count reached. Cached page data was random-overwritten and cleared.,Maximum decrypt count reached. Cached page data was random-overwritten and cleared.,Maximum decrypt count reached. Cached page data was random-overwritten and cleared.,Maximum decrypt count reached. Cached page data was random-overwritten and cleared.
toolbox.crypto.content_media.error_limit_cleared,已达到最大错误次数，页面内缓存已随机覆写并清除。,Maximum error count reached. Cached page data was random-overwritten and cleared.,Maximum error count reached. Cached page data was random-overwritten and cleared.,Maximum error count reached. Cached page data was random-overwritten and cleared.,Maximum error count reached. Cached page data was random-overwritten and cleared.,Maximum error count reached. Cached page data was random-overwritten and cleared.,Maximum error count reached. Cached page data was random-overwritten and cleared.
toolbox.crypto.content_media.threshold_cleared_deleted,已触发限制，并已尽力随机覆写删除选中的本地媒体文件。,Limit triggered and selected local media was best-effort random-overwritten and deleted.,Limit triggered and selected local media was best-effort random-overwritten and deleted.,Limit triggered and selected local media was best-effort random-overwritten and deleted.,Limit triggered and selected local media was best-effort random-overwritten and deleted.,Limit triggered and selected local media was best-effort random-overwritten and deleted.,Limit triggered and selected local media was best-effort random-overwritten and deleted.
toolbox.crypto.content_media.decode_failed_with_count,还原失败（第 {count} 次）：{error},Restore failed attempt {count}: {error},Restore failed attempt {count}: {error},Restore failed attempt {count}: {error},Restore failed attempt {count}: {error},Restore failed attempt {count}: {error},Restore failed attempt {count}: {error}
toolbox.crypto.content_media.damage_button,生成损坏模拟副本,Make damaged copy,Make damaged copy,Make damaged copy,Make damaged copy,Make damaged copy,Make damaged copy
toolbox.crypto.content_media.damage_need_png,请先生成 PNG 结果。,Generate a PNG result first.,Generate a PNG result first.,Generate a PNG result first.,Generate a PNG result first.,Generate a PNG result first.,Generate a PNG result first.
toolbox.crypto.content_media.damage_generating,正在生成传输损坏模拟副本...,Creating transfer-damage simulation copy...,Creating transfer-damage simulation copy...,Creating transfer-damage simulation copy...,Creating transfer-damage simulation copy...,Creating transfer-damage simulation copy...,Creating transfer-damage simulation copy...
toolbox.crypto.content_media.damage_success,已生成损坏模拟副本；视觉高位被扰动，低位载荷仍可还原。,Damaged simulation copy created. Visual high bits were disturbed while payload low bits remain restorable.,Damaged simulation copy created. Visual high bits were disturbed while payload low bits remain restorable.,Damaged simulation copy created. Visual high bits were disturbed while payload low bits remain restorable.,Damaged simulation copy created. Visual high bits were disturbed while payload low bits remain restorable.,Damaged simulation copy created. Visual high bits were disturbed while payload low bits remain restorable.,Damaged simulation copy created. Visual high bits were disturbed while payload low bits remain restorable.
toolbox.crypto.content_media.damage_failed,生成损坏模拟失败：{error},Creating damaged simulation failed: {error},Creating damaged simulation failed: {error},Creating damaged simulation failed: {error},Creating damaged simulation failed: {error},Creating damaged simulation failed: {error},Creating damaged simulation failed: {error}
toolbox.crypto.content_media.error_damage_requires_naturalized,损坏模拟需要本页新版自然化 PNG。,Damage simulation requires a naturalized PNG generated by this page.,Damage simulation requires a naturalized PNG generated by this page.,Damage simulation requires a naturalized PNG generated by this page.,Damage simulation requires a naturalized PNG generated by this page.,Damage simulation requires a naturalized PNG generated by this page.,Damage simulation requires a naturalized PNG generated by this page.
toolbox.crypto.content_media.share_need_png,请先生成 PNG 加密图片。,Generate an encrypted PNG image first.,Generate an encrypted PNG image first.,Generate an encrypted PNG image first.,Generate an encrypted PNG image first.,Generate an encrypted PNG image first.,Generate an encrypted PNG image first.
toolbox.crypto.content_media.share_uploading,正在上传加密 PNG 到 Uguu 临时空间...,Uploading encrypted PNG to Uguu temporary storage...,Uploading encrypted PNG to Uguu temporary storage...,Uploading encrypted PNG to Uguu temporary storage...,Uploading encrypted PNG to Uguu temporary storage...,Uploading encrypted PNG to Uguu temporary storage...,Uploading encrypted PNG to Uguu temporary storage...
toolbox.crypto.content_media.share_uploading_short,上传中,Uploading,Uploading,Uploading,Uploading,Uploading,Uploading
toolbox.crypto.content_media.share_upload_button,上传临时链接,Upload temporary link,Upload temporary link,Upload temporary link,Upload temporary link,Upload temporary link,Upload temporary link
toolbox.crypto.content_media.share_success,临时公开链接已返回。,Temporary public link returned.,Temporary public link returned.,Temporary public link returned.,Temporary public link returned.,Temporary public link returned.,Temporary public link returned.
toolbox.crypto.content_media.share_failed,上传临时链接失败：{error},Temporary upload failed: {error},Temporary upload failed: {error},Temporary upload failed: {error},Temporary upload failed: {error},Temporary upload failed: {error},Temporary upload failed: {error}
toolbox.crypto.content_media.share_waiting,可将当前加密 PNG 上传到 Uguu 公共临时空间。链接是公开地址，服务策略和可达性可能变化。,You can upload the current encrypted PNG to Uguu public temporary storage. The link is public and service policy or reachability may change.,You can upload the current encrypted PNG to Uguu public temporary storage. The link is public and service policy or reachability may change.,You can upload the current encrypted PNG to Uguu public temporary storage. The link is public and service policy or reachability may change.,You can upload the current encrypted PNG to Uguu public temporary storage. The link is public and service policy or reachability may change.,You can upload the current encrypted PNG to Uguu public temporary storage. The link is public and service policy or reachability may change.,You can upload the current encrypted PNG to Uguu public temporary storage. The link is public and service policy or reachability may change.
toolbox.crypto.content_media.copy_link,复制链接,Copy link,Copy link,Copy link,Copy link,Copy link,Copy link
toolbox.crypto.content_media.open_link,打开链接,Open link,Open link,Open link,Open link,Open link,Open link
toolbox.crypto.content_media.share_link_copied,临时链接已复制。,Temporary link copied.,Temporary link copied.,Temporary link copied.,Temporary link copied.,Temporary link copied.,Temporary link copied.
toolbox.crypto.content_media.share_open_failed,无法打开临时链接。,Could not open the temporary link.,Could not open the temporary link.,Could not open the temporary link.,Could not open the temporary link.,Could not open the temporary link.,Could not open the temporary link.
toolbox.crypto.content_media.network_image_url_label,网络 PNG 图片地址,Network PNG image URL,Network PNG image URL,Network PNG image URL,Network PNG image URL,Network PNG image URL,Network PNG image URL
toolbox.crypto.content_media.network_image_url_hint,https://.../encrypted_media.png,https://.../encrypted_media.png,https://.../encrypted_media.png,https://.../encrypted_media.png,https://.../encrypted_media.png,https://.../encrypted_media.png,https://.../encrypted_media.png
toolbox.crypto.content_media.load_network_image,加载网络图片,Load network image,Load network image,Load network image,Load network image,Load network image,Load network image
toolbox.crypto.content_media.pick_local_media,加载本地图片/音频,Load local image/audio,Load local image/audio,Load local image/audio,Load local image/audio,Load local image/audio,Load local image/audio
toolbox.crypto.content_media.network_image_loading,正在加载网络加密 PNG...,Loading network encrypted PNG...,Loading network encrypted PNG...,Loading network encrypted PNG...,Loading network encrypted PNG...,Loading network encrypted PNG...,Loading network encrypted PNG...
toolbox.crypto.content_media.network_image_loaded,已加载网络图片 {name}（{size}）。,Loaded network image {name} ({size}).,Loaded network image {name} ({size}).,Loaded network image {name} ({size}).,Loaded network image {name} ({size}).,Loaded network image {name} ({size}).,Loaded network image {name} ({size}).
toolbox.crypto.content_media.preview_title,创建结果预览,Created media preview,Created media preview,Created media preview,Created media preview,Created media preview,Created media preview
toolbox.crypto.content_media.preview_image_failed,图片预览失败。,Image preview failed.,Image preview failed.,Image preview failed.,Image preview failed.,Image preview failed.,Image preview failed.
toolbox.crypto.content_media.preview_audio_label,试听当前加密 WAV 承载音频。,Preview the current encrypted WAV carrier audio.,Preview the current encrypted WAV carrier audio.,Preview the current encrypted WAV carrier audio.,Preview the current encrypted WAV carrier audio.,Preview the current encrypted WAV carrier audio.,Preview the current encrypted WAV carrier audio.
toolbox.crypto.content_media.preview_audio_play,试听,Play preview,Play preview,Play preview,Play preview,Play preview,Play preview
toolbox.crypto.content_media.preview_audio_stop,停止,Stop,Stop,Stop,Stop,Stop,Stop
toolbox.crypto.content_media.preview_audio_playing,正在试听加密 WAV 承载音频。,Playing encrypted WAV carrier audio.,Playing encrypted WAV carrier audio.,Playing encrypted WAV carrier audio.,Playing encrypted WAV carrier audio.,Playing encrypted WAV carrier audio.,Playing encrypted WAV carrier audio.
toolbox.crypto.content_media.preview_audio_failed,试听失败：{error},Audio preview failed: {error},Audio preview failed: {error},Audio preview failed: {error},Audio preview failed: {error},Audio preview failed: {error},Audio preview failed: {error}
toolbox.crypto.content_media.error_network_url_empty,请输入网络图片地址。,Enter a network image URL.,Enter a network image URL.,Enter a network image URL.,Enter a network image URL.,Enter a network image URL.,Enter a network image URL.
toolbox.crypto.content_media.error_network_url_invalid,网络图片地址无效。,Network image URL is invalid.,Network image URL is invalid.,Network image URL is invalid.,Network image URL is invalid.,Network image URL is invalid.,Network image URL is invalid.
toolbox.crypto.content_media.error_network_https_required,仅支持 HTTPS 图片地址。,Only HTTPS image URLs are supported.,Only HTTPS image URLs are supported.,Only HTTPS image URLs are supported.,Only HTTPS image URLs are supported.,Only HTTPS image URLs are supported.,Only HTTPS image URLs are supported.
toolbox.crypto.content_media.error_network_private_host,网络图片地址不能指向本机或私有网络。,Network image URL cannot point to localhost or a private network.,Network image URL cannot point to localhost or a private network.,Network image URL cannot point to localhost or a private network.,Network image URL cannot point to localhost or a private network.,Network image URL cannot point to localhost or a private network.,Network image URL cannot point to localhost or a private network.
toolbox.crypto.content_media.error_network_redirect_invalid,网络图片重定向无效。,Network image redirect is invalid.,Network image redirect is invalid.,Network image redirect is invalid.,Network image redirect is invalid.,Network image redirect is invalid.,Network image redirect is invalid.
toolbox.crypto.content_media.error_network_too_many_redirects,网络图片重定向次数过多。,Network image has too many redirects.,Network image has too many redirects.,Network image has too many redirects.,Network image has too many redirects.,Network image has too many redirects.,Network image has too many redirects.
toolbox.crypto.content_media.error_network_download_failed,网络图片下载失败。,Network image download failed.,Network image download failed.,Network image download failed.,Network image download failed.,Network image download failed.,Network image download failed.
toolbox.crypto.content_media.error_network_not_png,网络响应不是 PNG 图片。,Network response is not a PNG image.,Network response is not a PNG image.,Network response is not a PNG image.,Network response is not a PNG image.,Network response is not a PNG image.,Network response is not a PNG image.
toolbox.crypto.content_media.error_network_too_large,网络图片超过大小限制。,Network image exceeds the size limit.,Network image exceeds the size limit.,Network image exceeds the size limit.,Network image exceeds the size limit.,Network image exceeds the size limit.,Network image exceeds the size limit.
toolbox.crypto.hmac.title,HMAC / MAC,HMAC / MAC,HMAC / MAC,HMAC / MAC,HMAC / MAC,HMAC / MAC,HMAC / MAC
toolbox.crypto.hmac.subtitle,使用共享密钥为文本或文件生成消息认证码，并可粘贴摘要做常量时间格式校验。,"Generate a message authentication code for text or files with a shared secret, then paste a digest for constant-time format-aware verification.",共有秘密鍵でテキストやファイルのメッセージ認証コードを生成し、ダイジェストを貼り付けて定数時間形式で検証できます。,Erzeuge mit einem gemeinsamen Geheimnis einen MAC für Texte oder Dateien und füge einen Digest zur konstantzeitigen Prüfung ein.,"Générez un code d’authentification pour textes ou fichiers avec un secret partagé, puis collez un digest pour une vérification à temps constant.",Genera un código de autenticación para textos o archivos con un secreto compartido y pega un resumen para verificarlo en tiempo constante.,Создавайте код аутентификации для текста или файлов с общим секретом и вставляйте дайджест для проверки за константное время.
toolbox.crypto.hmac.hub_subtitle,为文本或文件生成 HMAC，并校验对方提供的 Hex/Base64 认证码。,Generate HMAC for text or files and verify Hex/Base64 authentication codes from another party.,Generate HMAC for text or files and verify Hex/Base64 authentication codes from another party.,Generate HMAC for text or files and verify Hex/Base64 authentication codes from another party.,Generate HMAC for text or files and verify Hex/Base64 authentication codes from another party.,Generate HMAC for text or files and verify Hex/Base64 authentication codes from another party.,Generate HMAC for text or files and verify Hex/Base64 authentication codes from another party.
toolbox.crypto.hmac.hub_chip_text_file,文本/文件,Text/file,Text/file,Text/file,Text/file,Text/file,Text/file
toolbox.crypto.hmac.hub_chip_verify,摘要校验,Digest verify,Digest verify,Digest verify,Digest verify,Digest verify,Digest verify
toolbox.crypto.hmac.hub_chip_keyed,共享密钥,Shared secret,Shared secret,Shared secret,Shared secret,Shared secret,Shared secret
toolbox.crypto.hmac.stage_title,消息认证工作台,Message authentication workspace,Message authentication workspace,Message authentication workspace,Message authentication workspace,Message authentication workspace,Message authentication workspace
toolbox.crypto.hmac.stage_empty,输入消息和共享密钥后生成 HMAC；普通散列不具备认证语义。,Enter a message and shared secret to generate HMAC; plain hashes do not provide authentication.,Enter a message and shared secret to generate HMAC; plain hashes do not provide authentication.,Enter a message and shared secret to generate HMAC; plain hashes do not provide authentication.,Enter a message and shared secret to generate HMAC; plain hashes do not provide authentication.,Enter a message and shared secret to generate HMAC; plain hashes do not provide authentication.,Enter a message and shared secret to generate HMAC; plain hashes do not provide authentication.
toolbox.crypto.hmac.stage_ready,当前输入大小 {size}，可生成或校验认证码。,Current input size is {size}; ready to generate or verify the authentication code.,Current input size is {size}; ready to generate or verify the authentication code.,Current input size is {size}; ready to generate or verify the authentication code.,Current input size is {size}; ready to generate or verify the authentication code.,Current input size is {size}; ready to generate or verify the authentication code.,Current input size is {size}; ready to generate or verify the authentication code.
toolbox.crypto.hmac.chip_auth,认证码,Authentication code,Authentication code,Authentication code,Authentication code,Authentication code,Authentication code
toolbox.crypto.hmac.input_section,消息输入,Message input,Message input,Message input,Message input,Message input,Message input
toolbox.crypto.hmac.input_subtitle,可直接输入短文本，也可选择本地文件计算 HMAC。,Enter short text directly or choose a local file for HMAC.,Enter short text directly or choose a local file for HMAC.,Enter short text directly or choose a local file for HMAC.,Enter short text directly or choose a local file for HMAC.,Enter short text directly or choose a local file for HMAC.,Enter short text directly or choose a local file for HMAC.
toolbox.crypto.hmac.mode_label,输入类型,Input type,Input type,Input type,Input type,Input type,Input type
toolbox.crypto.hmac.mode_text,文本,Text,Text,Text,Text,Text,Text
toolbox.crypto.hmac.mode_file,文件,File,File,File,File,File,File
toolbox.crypto.hmac.text_label,消息文本,Message text,Message text,Message text,Message text,Message text,Message text
toolbox.crypto.hmac.pick_file,选择文件,Choose file,Choose file,Choose file,Choose file,Choose file,Choose file
toolbox.crypto.hmac.no_file,尚未选择文件。,No file selected yet.,No file selected yet.,No file selected yet.,No file selected yet.,No file selected yet.,No file selected yet.
toolbox.crypto.hmac.file_ready,已选择：{name}，{size},"Selected: {name}, {size}","Selected: {name}, {size}","Selected: {name}, {size}","Selected: {name}, {size}","Selected: {name}, {size}","Selected: {name}, {size}"
toolbox.crypto.hmac.file_selected,已选择 {name}，大小 {size}。,"Selected {name}, size {size}.","Selected {name}, size {size}.","Selected {name}, size {size}.","Selected {name}, size {size}.","Selected {name}, size {size}.","Selected {name}, size {size}."
toolbox.crypto.hmac.pick_failed,选择文件失败：{error},File selection failed: {error},File selection failed: {error},File selection failed: {error},File selection failed: {error},File selection failed: {error},File selection failed: {error}
toolbox.crypto.hmac.secret_section,共享密钥,Shared secret,Shared secret,Shared secret,Shared secret,Shared secret,Shared secret
toolbox.crypto.hmac.secret_subtitle,HMAC 需要双方持有同一密钥；不要把密钥和消息一起发送。,HMAC requires both sides to hold the same secret; do not send the secret with the message.,HMAC requires both sides to hold the same secret; do not send the secret with the message.,HMAC requires both sides to hold the same secret; do not send the secret with the message.,HMAC requires both sides to hold the same secret; do not send the secret with the message.,HMAC requires both sides to hold the same secret; do not send the secret with the message.,HMAC requires both sides to hold the same secret; do not send the secret with the message.
toolbox.crypto.hmac.secret_label,HMAC 密钥,HMAC secret,HMAC secret,HMAC secret,HMAC secret,HMAC secret,HMAC secret
toolbox.crypto.hmac.secret_helper,密钥只保存在当前页面状态中，清除或离开页面后不持久化。,The secret stays only in current page state and is not persisted after clearing or leaving the page.,The secret stays only in current page state and is not persisted after clearing or leaving the page.,The secret stays only in current page state and is not persisted after clearing or leaving the page.,The secret stays only in current page state and is not persisted after clearing or leaving the page.,The secret stays only in current page state and is not persisted after clearing or leaving the page.,The secret stays only in current page state and is not persisted after clearing or leaving the page.
toolbox.crypto.hmac.algorithm_section,HMAC 算法,HMAC algorithm,HMAC algorithm,HMAC algorithm,HMAC algorithm,HMAC algorithm,HMAC algorithm
toolbox.crypto.hmac.algorithm_subtitle,SHA-256 适合默认认证；SHA-1 仅用于兼容旧系统。,SHA-256 is the default authentication choice; SHA-1 is only for legacy compatibility.,SHA-256 is the default authentication choice; SHA-1 is only for legacy compatibility.,SHA-256 is the default authentication choice; SHA-1 is only for legacy compatibility.,SHA-256 is the default authentication choice; SHA-1 is only for legacy compatibility.,SHA-256 is the default authentication choice; SHA-1 is only for legacy compatibility.,SHA-256 is the default authentication choice; SHA-1 is only for legacy compatibility.
toolbox.crypto.hmac.compare_section,粘贴校验,Paste verification,Paste verification,Paste verification,Paste verification,Paste verification,Paste verification
toolbox.crypto.hmac.compare_subtitle,可粘贴对方提供的 Hex 或 Base64 HMAC，生成后自动比对。,Paste a Hex or Base64 HMAC from another party; it is compared after generation.,Paste a Hex or Base64 HMAC from another party; it is compared after generation.,Paste a Hex or Base64 HMAC from another party; it is compared after generation.,Paste a Hex or Base64 HMAC from another party; it is compared after generation.,Paste a Hex or Base64 HMAC from another party; it is compared after generation.,Paste a Hex or Base64 HMAC from another party; it is compared after generation.
toolbox.crypto.hmac.expected_label,预期 HMAC,Expected HMAC,Expected HMAC,Expected HMAC,Expected HMAC,Expected HMAC,Expected HMAC
toolbox.crypto.hmac.expected_helper,支持 Hex 或 Base64；留空则只生成。,Supports Hex or Base64; leave empty to only generate.,Supports Hex or Base64; leave empty to only generate.,Supports Hex or Base64; leave empty to only generate.,Supports Hex or Base64; leave empty to only generate.,Supports Hex or Base64; leave empty to only generate.,Supports Hex or Base64; leave empty to only generate.
toolbox.crypto.hmac.calculate_button,生成 HMAC,Generate HMAC,Generate HMAC,Generate HMAC,Generate HMAC,Generate HMAC,Generate HMAC
toolbox.crypto.hmac.calculating,正在计算 HMAC...,Calculating HMAC...,Calculating HMAC...,Calculating HMAC...,Calculating HMAC...,Calculating HMAC...,Calculating HMAC...
toolbox.crypto.hmac.calculate_success,HMAC 已生成。,HMAC generated.,HMAC generated.,HMAC generated.,HMAC generated.,HMAC generated.,HMAC generated.
toolbox.crypto.hmac.calculate_failed,HMAC 计算失败：{error},HMAC calculation failed: {error},HMAC calculation failed: {error},HMAC calculation failed: {error},HMAC calculation failed: {error},HMAC calculation failed: {error},HMAC calculation failed: {error}
toolbox.crypto.hmac.result_section,认证码结果,Authentication result,Authentication result,Authentication result,Authentication result,Authentication result,Authentication result
toolbox.crypto.hmac.result_subtitle,复制前核对算法、输入大小和摘要格式。,"Review algorithm, input size, and digest format before copying.","Review algorithm, input size, and digest format before copying.","Review algorithm, input size, and digest format before copying.","Review algorithm, input size, and digest format before copying.","Review algorithm, input size, and digest format before copying.","Review algorithm, input size, and digest format before copying."
toolbox.crypto.hmac.no_result,生成后会在这里显示 Hex 和 Base64 HMAC。,Hex and Base64 HMAC appear here after generation.,Hex and Base64 HMAC appear here after generation.,Hex and Base64 HMAC appear here after generation.,Hex and Base64 HMAC appear here after generation.,Hex and Base64 HMAC appear here after generation.,Hex and Base64 HMAC appear here after generation.
toolbox.crypto.hmac.hex_label,Hex HMAC,Hex HMAC,Hex HMAC,Hex HMAC,Hex HMAC,Hex HMAC,Hex HMAC
toolbox.crypto.hmac.compare_status,校验状态,Verification status,Verification status,Verification status,Verification status,Verification status,Verification status
toolbox.crypto.hmac.compare_match,匹配,Match,Match,Match,Match,Match,Match
toolbox.crypto.hmac.compare_mismatch,不匹配,Mismatch,Mismatch,Mismatch,Mismatch,Mismatch,Mismatch
toolbox.crypto.hmac.copy_hex,复制 Hex,Copy Hex,Copy Hex,Copy Hex,Copy Hex,Copy Hex,Copy Hex
toolbox.crypto.hmac.copied,已复制 HMAC。,HMAC copied.,HMAC copied.,HMAC copied.,HMAC copied.,HMAC copied.,HMAC copied.
toolbox.crypto.password.title,密码生成器,Password generator,パスワード生成ツール,Passwortgenerator,Générateur de mots de passe,Generador de contraseñas,Генератор паролей
toolbox.crypto.password.subtitle,离线批量生成随机密码，也可生成口令短语并估算熵强度；结果不写入本地存储。,Generate random password batches offline or create passphrases with entropy estimates; results are not written to local storage.,ランダムパスワードをオフラインで一括生成。パスフレーズ生成とエントロピー推定にも対応し、結果はローカルに保存されません。,Erzeuge offline Passwort-Batches oder Passphrasen mit Entropie-Schätzung; Ergebnisse werden nicht lokal gespeichert.,Générez par lots des mots de passe aléatoires hors ligne ou des phrases de passe avec estimation d’entropie ; rien n’est stocké localement.,Genera lotes de contraseñas aleatorias sin conexión o frases de contraseña con estimación de entropía; no se guardan en local.,Офлайн-генерация паролей партиями или парольных фраз с оценкой энтропии; результаты не записываются в локальное хранилище.
toolbox.crypto.password.hub_subtitle,离线批量生成高强度密码和口令短语，适合配合加密信封或 key file 使用。,Generate strong password batches and passphrases offline for encrypted envelopes or key files.,Generate strong password batches and passphrases offline for encrypted envelopes or key files.,Generate strong password batches and passphrases offline for encrypted envelopes or key files.,Generate strong password batches and passphrases offline for encrypted envelopes or key files.,Generate strong password batches and passphrases offline for encrypted envelopes or key files.,Generate strong password batches and passphrases offline for encrypted envelopes or key files.
toolbox.crypto.password.hub_chip_random,随机密码,Random password,Random password,Random password,Random password,Random password,Random password
toolbox.crypto.password.hub_chip_phrase,口令短语,Passphrase,Passphrase,Passphrase,Passphrase,Passphrase,Passphrase
toolbox.crypto.password.hub_chip_entropy,熵估算,Entropy estimate,Entropy estimate,Entropy estimate,Entropy estimate,Entropy estimate,Entropy estimate
toolbox.crypto.password.stage_title,离线凭据生成,Offline credential generation,Offline credential generation,Offline credential generation,Offline credential generation,Offline credential generation,Offline credential generation
toolbox.crypto.password.stage_empty,设置字符集后生成一次性结果；页面不会保存历史记录。,Configure character sets and generate one-time results; this page keeps no history.,Configure character sets and generate one-time results; this page keeps no history.,Configure character sets and generate one-time results; this page keeps no history.,Configure character sets and generate one-time results; this page keeps no history.,Configure character sets and generate one-time results; this page keeps no history.,Configure character sets and generate one-time results; this page keeps no history.
toolbox.crypto.password.stage_ready,已生成 {count} 条结果，首条估算熵约 {entropy} bits。,Generated {count} results; first estimate is about {entropy} bits of entropy.,Generated {count} results; first estimate is about {entropy} bits of entropy.,Generated {count} results; first estimate is about {entropy} bits of entropy.,Generated {count} results; first estimate is about {entropy} bits of entropy.,Generated {count} results; first estimate is about {entropy} bits of entropy.,Generated {count} results; first estimate is about {entropy} bits of entropy.
toolbox.crypto.password.chip_offline,离线生成,Offline,Offline,Offline,Offline,Offline,Offline
toolbox.crypto.password.chip_no_storage,不持久化,No storage,No storage,No storage,No storage,No storage,No storage
toolbox.crypto.password.mode_section,生成模式,Generation mode,Generation mode,Generation mode,Generation mode,Generation mode,Generation mode
toolbox.crypto.password.mode_subtitle,密码适合系统字段；口令短语适合手动输入和记忆。,Passwords fit system fields; passphrases are easier to type and remember manually.,Passwords fit system fields; passphrases are easier to type and remember manually.,Passwords fit system fields; passphrases are easier to type and remember manually.,Passwords fit system fields; passphrases are easier to type and remember manually.,Passwords fit system fields; passphrases are easier to type and remember manually.,Passwords fit system fields; passphrases are easier to type and remember manually.
